material_name,composition,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,specific_heat_j_kgk,electrical_resistivity_ohm_m,dielectric_constant,confidence_score,uncertainty_mechanical,uncertainty_thermal,uncertainty_electrical
Alumina-Carbon Nanotube (CNT),Al2O3,Ceramic Composite,0.999,0.999,0.91,0.9690130855464938,1144.2280936488396,3306.686084164617,330.319145922882,17.94635986755921,581.5181,30.979,29.985000000000003,5.0099999999999995e-06,721.7621066080773,1.0009999999999999e-07,1.0,0.999,0.1005,0.1205,0.15050000000000002
Diamond-like Carbon (DLC) on Si,Si,Coating,0.999,0.999,0.78,0.9406110235752434,1086.2589969097285,3082.9716116890017,279.5969861223389,16.75750741249645,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,727.2337650328369,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
TiN on Steel,Steel,Coating,0.999,0.999,0.78,0.9297876157216584,1073.759649290463,3062.124930296845,292.6751131841684,16.380713279372728,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,736.4280259758932,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Fly Ash Geopolymer (NaOH activator),Fly Ash Class F,Geopolymer,0.965,0.975,0.78,0.9300321765145615,1048.2392661495624,2890.9334879932308,307.6508371295565,13.881460494841894,560.9449999999999,30.474999999999998,29.625,5.25e-06,656.7825447908301,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Fly Ash Geopolymer (Na2SiO3 activator),Fly Ash Class F,Geopolymer,0.965,0.975,0.78,0.9132708103407485,1029.3475303350579,2878.1819627316017,282.7466872043403,13.82795134587835,560.9449999999999,30.474999999999998,29.625,5.25e-06,729.4287670274555,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Fly Ash Geopolymer (KOH activator),Fly Ash Class F,Geopolymer,0.965,0.975,0.78,0.90916659830434,1024.7216729488218,2849.478694016424,300.31695365363015,13.686119959339667,560.9449999999999,30.474999999999998,29.625,5.25e-06,701.7785681888815,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Metakaolin Geopolymer (Na2SiO3),Metakaolin,Geopolymer,0.999,0.999,0.78,0.9279010689573255,1071.5809820789536,3173.8456759154833,287.82133097249476,17.301068193635277,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,666.4795831429564,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Metakaolin Geopolymer (K2SiO3),Metakaolin,Geopolymer,0.999,0.999,0.78,0.9382245410588114,1083.502981894522,3059.303528241142,277.170267203473,16.605489703375248,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,682.2378423667224,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Slag Geopolymer (NaOH),GGBS,Geopolymer,0.999,0.999,0.78,0.9347763278769988,1079.520833590785,3083.1173704858647,313.3099425883876,16.58746975567729,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,727.2587818372593,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Slag Geopolymer (Na2CO3),GGBS,Geopolymer,0.999,0.999,0.78,0.9434579107884439,1089.54670752657,2955.9485688064683,287.2216756070872,16.051088110350943,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,695.2057230215569,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Fly Ash/Slag (70/30) Blend,Fly Ash/GGBS,Geopolymer,0.965,0.975,0.78,0.9027506786349331,1017.4902898894333,2922.8324005574564,268.7533915534071,14.391919917004108,560.9449999999999,30.474999999999998,29.625,5.25e-06,662.8713245867757,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Fly Ash/Slag (50/50) Blend,Fly Ash/GGBS,Geopolymer,0.965,0.975,0.78,0.9230484337749755,1040.367889707775,2810.927258118336,285.28191568673947,13.30904299493029,560.9449999999999,30.474999999999998,29.625,5.25e-06,691.5952062760605,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Geopolymer Concrete (Basalt aggregate),Fly Ash,Geopolymer,0.965,0.975,0.78,0.8999603157656464,1014.3452718994602,2941.05553975672,271.8568307248983,14.038359076210718,560.9449999999999,30.474999999999998,29.625,5.25e-06,696.9246967212506,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Geopolymer Foam (H2O2),Metakaolin,Geopolymer,0.999,0.999,0.78,0.9215185445915772,1064.2101621103157,2926.7097869695635,290.2032043864124,16.401629132124686,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,657.7246527743035,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Geopolymer-Basalt Fiber Composite,Fly Ash,Geopolymer,0.965,0.975,0.78,0.9223985732287255,1039.6354318860965,2782.6558712163474,303.2582612276324,13.156171333866526,560.9449999999999,30.474999999999998,29.625,5.25e-06,719.4136927419281,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Geopolymer-Carbon Fiber Composite,Metakaolin,Geopolymer,0.999,0.999,0.78,0.9169032645797109,1058.880233680292,3140.3145341563286,319.9857470130589,16.732433366758105,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,692.4213084166408,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Red Mud Geopolymer,Red Mud,Geopolymer,0.999,0.999,0.78,0.9495867483213097,1096.6245587783749,2987.6924381413946,282.60078934171634,17.371599599523606,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,726.4826058897452,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Rice Husk Ash Geopolymer,Rice Husk Ash,Geopolymer,0.999,0.999,0.78,0.9354238678798654,1080.2686412778553,3057.7564732222822,277.2548505063628,15.98878877471031,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,692.8078453039827,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Geopolymer-Hemp Composite,Fly Ash,Geopolymer,0.965,0.975,0.78,0.917916946366053,1034.5841902491784,2775.7387793662438,265.6321342174358,14.228416520773157,560.9449999999999,30.474999999999998,29.625,5.25e-06,668.9561625271648,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
High-Temperature Geopolymer (Phosphate),Metakaolin,Geopolymer,0.999,0.999,0.78,0.9481703967677866,1094.988893684898,3018.8697086909565,312.8343200753347,16.130331751898417,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,745.9526766523398,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
Ferro-sialate Geopolymer,Fly Ash,Geopolymer,0.965,0.975,0.78,0.920458872817801,1037.4491955529436,2921.402284581626,302.78168626346684,13.144057652821463,560.9449999999999,30.474999999999998,29.625,5.25e-06,730.1820235589943,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Geopolymer Mortar,Fly Ash,Geopolymer,0.965,0.975,0.78,0.9165003183237727,1032.9875087827243,2969.493425713024,278.121838329572,13.619183773694163,560.9449999999999,30.474999999999998,29.625,5.25e-06,690.4043083335672,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Self-healing Geopolymer (Microcapsules),Fly Ash,Geopolymer,0.965,0.975,0.78,0.9018144884272964,1016.4351099064058,2800.437010257323,258.7431554241079,13.838869462752903,560.9449999999999,30.474999999999998,29.625,5.25e-06,690.3491764709553,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Concrete + Nano-Silica (3%),OPC,Concrete Additive,0.965,0.975,0.73,0.8954593246478776,1000.541476395306,2862.899681900979,308.02902514572975,13.765088268554175,556.5575,30.474999999999998,29.625,5.25e-06,669.9545504295805,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Titanium Dioxide (3%),OPC,Concrete Additive,0.965,0.975,0.73,0.9151700976461538,1022.5653086049298,2744.3558170533925,282.65238360725283,12.971199463895514,556.5575,30.474999999999998,29.625,5.25e-06,714.5131974951639,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Graphene Oxide (0.1%),OPC,Concrete Additive,0.965,0.975,0.73,0.8882657171776817,992.5036990884826,2875.404159468143,293.19610776069436,12.561466162585102,556.5575,30.474999999999998,29.625,5.25e-06,729.8038355599219,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Carbon Nanotubes (0.1%),OPC,Concrete Additive,0.965,0.975,0.73,0.9085988542761068,1015.2229298254078,2775.482757018697,286.02228327888974,12.831035828981346,556.5575,30.474999999999998,29.625,5.25e-06,666.0016333532333,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Basalt Fibers (1%),OPC,Concrete Additive,0.965,0.975,0.73,0.8861712947371515,990.1634961745561,2864.8220411848756,281.6705893080638,13.62176322269609,556.5575,30.474999999999998,29.625,5.25e-06,725.716478457569,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Bacterial Spores (1%),OPC,Concrete Additive,0.965,0.975,0.73,0.8861740121813878,990.1665325108736,2898.8352154504746,278.9049091980548,12.915368313696403,556.5575,30.474999999999998,29.625,5.25e-06,725.8707597957651,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Mullite (5%),OPC,Concrete Additive,0.965,0.975,0.73,0.8948213034973771,999.8285834627942,2906.49277114538,274.534890493702,13.418376399656891,556.5575,30.474999999999998,29.625,5.25e-06,711.4811623083297,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Cordierite (5%),OPC,Concrete Additive,0.965,0.975,0.73,0.9126690658676825,1019.7707807472549,2779.9544090232635,260.85945073814844,13.762142345389691,556.5575,30.474999999999998,29.625,5.25e-06,702.4940858156211,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Spinel (5%),OPC,Concrete Additive,0.965,0.975,0.73,0.8995254139149838,1005.084721237907,2929.944681558208,294.50090753261344,12.679882632964254,556.5575,30.474999999999998,29.625,5.25e-06,651.3591832154007,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + SiC particles (5%),OPC,Concrete Additive,0.965,0.975,0.73,0.8852363939599073,989.1188847911023,2845.314993643603,260.1223690890767,13.306670209807313,556.5575,30.474999999999998,29.625,5.25e-06,720.0621316477209,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + AlN particles (2%),OPC,Concrete Additive,0.965,0.975,0.73,0.8985274197033094,1003.9696124054927,2749.4635146461696,295.8646988656373,12.7541554709069,556.5575,30.474999999999998,29.625,5.25e-06,686.7686890749587,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + B4C particles (2%),OPC,Concrete Additive,0.965,0.975,0.73,0.9115047982309031,1018.4698863032995,2786.4418672422403,286.09999351614397,12.935121969807659,556.5575,30.474999999999998,29.625,5.25e-06,706.2705332408553,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Wollastonite,OPC,Concrete Additive,0.965,0.975,0.73,0.8916135587791956,996.244409901934,2899.057662138263,317.9575958222089,13.767420190457806,556.5575,30.474999999999998,29.625,5.25e-06,725.0690667795224,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Phase Change Material (PCM),OPC,Concrete Additive,0.965,0.975,0.73,0.8893892132612407,993.7590374374471,2859.7077934326535,293.6305129865529,12.64547688242904,556.5575,30.474999999999998,29.625,5.25e-06,707.9425592960316,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Concrete + Superabsorbent Polymer (SAP),OPC,Concrete Additive,0.965,0.975,0.73,0.9161910871208769,1023.7061111945118,2940.3824517642333,315.5978308603228,13.148078800366223,556.5575,30.474999999999998,29.625,5.25e-06,654.9672103168828,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
UHPC (Ultra-High Performance Concrete),OPC+Silica Fume,Concrete Additive,0.965,0.975,0.73,0.8987422935884976,1004.2097017411077,2924.028237118602,270.2965302822391,13.198777808186897,556.5575,30.474999999999998,29.625,5.25e-06,732.1919717082535,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Shotcrete Mix,OPC,Concrete Additive,0.965,0.975,0.73,0.9162293857257892,1023.7489041407105,2903.3828191901034,279.711438869108,13.209485043838203,556.5575,30.474999999999998,29.625,5.25e-06,736.5742097841772,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Lightweight Concrete (Expanded Clay),OPC,Concrete Additive,0.965,0.975,0.73,0.9035172684241484,1009.5450198737221,2787.516281899705,306.4639762615673,13.316259999900518,556.5575,30.474999999999998,29.625,5.25e-06,671.936048570116,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Heavyweight Concrete (Barite),OPC,Concrete Additive,0.965,0.975,0.73,0.8842850812338202,988.0559355166089,2748.3104135605,255.7025362326634,13.587973358671583,556.5575,30.474999999999998,29.625,5.25e-06,734.250460867248,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Pervious Concrete,OPC,Concrete Additive,0.965,0.975,0.73,0.9179721144475801,1025.6961420780035,2719.6883618256365,254.59965703678756,13.288052736526733,556.5575,30.474999999999998,29.625,5.25e-06,730.1627595202714,1.0249999999999998e-07,1.0,0.975,0.1925,0.2285,0.28250000000000003
Low-Coherence Mix (High w/c),OPC,Failure Case,0.965,0.975,0.53,0.8288770495714238,893.819566405345,2668.111206477353,255.05501625790743,11.118175371589867,539.0074999999999,30.474999999999998,29.625,5.25e-06,692.9919130067568,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Cracked Alumina,Al2O3,Failure Case,0.999,0.999,0.53,0.8461416330623799,934.8968135208253,2645.3931688800567,273.2116328235581,13.48039735520152,547.3523,30.979,29.985000000000003,5.0099999999999995e-06,683.9773957824553,1.0009999999999999e-07,1.0,0.999,0.3005,0.3605,0.45049999999999996
Amorphous Silica,SiO2,Failure Case,0.999,0.999,0.53,0.8627864374184097,953.2875579849764,2822.412189444706,258.1026042408602,13.259807692749575,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,739.7737753894638,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
Over-reinforced Composite (30% SiC),Al2O3,Failure Case,0.999,0.999,0.53,0.8550063961227906,944.6914370376948,2856.9622350113837,261.2794860172899,13.341057996359272,547.3523,30.979,29.985000000000003,5.0099999999999995e-06,746.7053524281182,1.0009999999999999e-07,1.0,0.999,0.3005,0.3605,0.45049999999999996
Under-sintered Alumina,Al2O3,Failure Case,0.999,0.999,0.53,0.8433385476379998,931.7997012539402,2740.3961888665517,279.001015950242,12.411379941791134,547.3523,30.979,29.985000000000003,5.0099999999999995e-06,682.2437969044072,1.0009999999999999e-07,1.0,0.999,0.3005,0.3605,0.45049999999999996
Phase-separated Zirconia,ZrO2,Failure Case,0.98,0.99,0.53,0.8661874437473285,948.4232796567,2711.231479849735,274.78635318826343,12.520674085796184,544.223,30.79,9.95,5.0999999999999995e-06,713.5189697945833,10100000000.0,9.1048925,0.99,0.305,0.365,0.45499999999999996
Geopolymer (Wrong Activator Ratio),Fly Ash,Failure Case,0.965,0.975,0.53,0.8524647379278907,919.2553501445409,2550.6257593189207,235.8751813558492,10.781628477527368,539.0074999999999,30.474999999999998,29.625,5.25e-06,722.3717464078803,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Bloated Ceramic,Clay,Failure Case,0.999,0.999,0.53,0.8541572361513514,943.7532052802114,2781.2495955449617,257.1960898316185,12.24576004158689,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,726.6003752609532,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
Devitrified Glass,Glass,Failure Case,0.999,0.999,0.53,0.8474195719319032,936.3088005101283,2913.5204061959976,282.5636395210521,12.741555464768929,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,709.7507794722194,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
Thermal Shocked SiC,SiC,Failure Case,0.999,0.999,0.53,0.8452045572181377,933.861444042977,3172.614228330063,332.97628143480495,12.881471891255563,547.3523,39.97,19.990000000000002,5.0099999999999995e-06,667.5404972891463,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
Agglomerated Nanoparticles in Concrete,OPC,Failure Case,0.965,0.975,0.53,0.8471278232064926,913.5002881547214,2632.6473126939,255.43569849889144,10.689787200088809,539.0074999999999,30.474999999999998,29.625,5.25e-06,691.6316931283415,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Contaminated Raw Material (Fe),Al2O3,Failure Case,0.999,0.999,0.53,0.871597721505377,963.023092904962,2889.4050842327747,305.5654079953616,12.900825322319687,547.3523,30.979,29.985000000000003,5.0099999999999995e-06,689.147790869773,1.0009999999999999e-07,1.0,0.999,0.3005,0.3605,0.45049999999999996
Wrong Firing Atmosphere (Oxidized Si3N4),Si3N4,Failure Case,0.999,0.999,0.53,0.8720743459108207,963.5497123507904,2498.487775383478,264.65080701162594,13.244389359278394,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,671.0682744650795,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
PZT Depoled,PZT,Failure Case,0.999,0.999,0.53,0.8746742241313176,966.422302197348,2753.0261724069937,277.9055475218896,13.294422126904779,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,736.7863312512287,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
C/C Composite (Oxidized),Carbon,Failure Case,0.999,0.999,0.53,0.8450368420230228,933.6761365301858,2648.9337141023043,264.08051585652726,12.934449556582715,547.3523,30.979,9.995000000000001,5.0099999999999995e-06,741.6885996183829,100.1,1.0,0.999,0.3005,0.3605,0.45049999999999996
Geopolymer (Efflorescence),Fly Ash,Failure Case,0.965,0.975,0.53,0.8322590699697886,897.4665681019217,2699.4579406431462,295.7936764192751,11.45005752102204,539.0074999999999,30.474999999999998,29.625,5.25e-06,682.8997468875375,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Concrete (Alkali-Silica Reaction),OPC,Failure Case,0.965,0.975,0.53,0.8393208354046233,905.0816228585757,2689.0229665778306,253.19649408398536,11.508171994390024,539.0074999999999,30.474999999999998,29.625,5.25e-06,676.1813528589507,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Slump Failed Concrete,OPC,Failure Case,0.965,0.975,0.53,0.8536153177825627,920.4960779308266,2550.665965291499,270.4023100721142,11.008262086049607,539.0074999999999,30.474999999999998,29.625,5.25e-06,741.6089470369644,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Segregated Concrete Mix,OPC,Failure Case,0.965,0.975,0.53,0.8514322075256454,918.1419209852797,2765.645237992829,278.87121398671303,11.19849795419676,539.0074999999999,30.474999999999998,29.625,5.25e-06,743.8210292010624,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Freeze-Thaw Damaged Concrete,OPC,Failure Case,0.965,0.975,0.53,0.8462104128422723,912.5109986884645,2775.9361827553644,285.8079468328676,10.611488690727212,539.0074999999999,30.474999999999998,29.625,5.25e-06,695.2792292100978,1.0249999999999998e-07,1.0,0.975,0.3125,0.3725,0.46249999999999997
Dosage Study: Nano-Silica in OPC,OPC,Dosage Study,0.965,0.975,0.78,0.9101504599698635,1025.8305834320333,3031.2829136645387,296.65414004809537,13.767240794437074,560.9449999999999,30.474999999999998,29.625,5.25e-06,667.3371578768152,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: Graphene Oxide in OPC,OPC,Dosage Study,0.965,0.975,0.78,0.9219446127765223,1039.1237730604184,2969.317857276719,317.74661683734763,14.181239633694476,560.9449999999999,30.474999999999998,29.625,5.25e-06,696.0195811244973,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: CNTs in OPC,OPC,Dosage Study,0.965,0.975,0.78,0.913069408747467,1029.12053059927,2998.561160865123,325.48699602387177,13.13997697324509,560.9449999999999,30.474999999999998,29.625,5.25e-06,685.2007504545179,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: SiC particles in Al2O3,Al2O3,Dosage Study,0.999,0.999,0.78,0.9252682680970963,1068.5405078023232,3167.4014341354155,320.7129885837439,16.02689987525358,569.8298,30.979,29.985000000000003,5.0099999999999995e-06,650.8661849255758,1.0009999999999999e-07,1.0,0.999,0.1505,0.1805,0.22549999999999998
Dosage Study: Y2O3 in ZrO2,ZrO2,Dosage Study,0.98,0.99,0.78,0.9265511860420175,1060.3822393539267,2901.1248190996034,303.16456372427706,15.499489293594136,566.498,30.79,9.95,5.0999999999999995e-06,653.6526248854278,10100000000.0,9.1048925,0.99,0.155,0.185,0.22999999999999998
Dosage Study: Basalt Fibers in Geopolymer,Fly Ash Geopolymer,Dosage Study,0.965,0.975,0.78,0.9264580399383999,1044.2108568145707,2973.8764140255926,290.2645119258244,13.321634518735634,560.9449999999999,30.474999999999998,29.625,5.25e-06,676.3789656603315,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: TiO2 in OPC,OPC,Dosage Study,0.965,0.975,0.78,0.9109057806265539,1026.681905344189,3007.764793107712,299.10951595048004,14.298026507497338,560.9449999999999,30.474999999999998,29.625,5.25e-06,749.7933840970935,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: Bacterial Spores in OPC,OPC,Dosage Study,0.965,0.975,0.78,0.9046598634935552,1019.6421321435862,3040.9340180858776,309.55775092054984,14.35451880083076,560.9449999999999,30.474999999999998,29.625,5.25e-06,694.274313435414,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: Slag in Fly Ash Geopolymer,Fly Ash Geopolymer,Dosage Study,0.965,0.975,0.78,0.9159168186194103,1032.3298462659375,2798.0585252790947,258.43279634821903,13.694185558824742,560.9449999999999,30.474999999999998,29.625,5.25e-06,688.6284545163994,1.0249999999999998e-07,1.0,0.975,0.1625,0.1925,0.2375
Dosage Study: Cobalt in WC,WC,Dosage Study,0.999,0.999,0.78,0.9323355388321334,1076.7021030070564,2937.2200981364126,314.01983295386174,17.316297157873628,569.8298,30.979,9.995000000000001,5.0099999999999995e-06,715.4736553208937,100.1,1.0,0.999,0.1505,0.1805,0.22549999999999998
