material_name,composition,category,base_nrci,final_nrci,compressive_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,electrical_resistivity_ohm_m,band_gap_ev,quantum_coherence,ubp_quantum_energy_cu,grain_size_um,porosity_fraction,num_toggle_steps,hierarchical_grid_cells
Geopolymer-Basalt Fiber Composite,Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Geopolymer-Carbon Fiber Composite,Metakaolin,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Red Mud Geopolymer,Red Mud,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Rice Husk Ash Geopolymer,Rice Husk Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Geopolymer-Hemp Composite,Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
High-Temperature Geopolymer (Phosphate),Metakaolin,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Ferro-sialate Geopolymer,Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Geopolymer Mortar,Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Self-healing Geopolymer (Microcapsules),Fly Ash,Geopolymer,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Concrete + Nano-Silica (3%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Titanium Dioxide (3%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Graphene Oxide (0.1%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Carbon Nanotubes (0.1%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Basalt Fibers (1%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Bacterial Spores (1%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Mullite (5%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Cordierite (5%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Spinel (5%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + SiC particles (5%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + AlN particles (2%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + B4C particles (2%),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Wollastonite,OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Phase Change Material (PCM),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Concrete + Superabsorbent Polymer (SAP),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
UHPC (Ultra-High Performance Concrete),OPC+Silica Fume,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Shotcrete Mix,OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Lightweight Concrete (Expanded Clay),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Heavyweight Concrete (Barite),OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Pervious Concrete,OPC,Concrete Additive,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Low-Coherence Mix (High w/c),OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Cracked Alumina,Al2O3,Failure Case,0.95,0.8666673681257014,1840.4129791678722,0.05010416666666018,212.55017203282827,12.934847151529969,17.07399824001956,9.066661054994387e-06,1.1559992845117845e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Amorphous Silica,SiO2,Failure Case,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Over-reinforced Composite (30% SiC),Al2O3,Failure Case,0.95,0.8595812289562288,1810.4404484483498,-1.0021875000000273,210.8122964015151,12.829087859761753,16.93439597488551,9.12335016835017e-06,1.1632271464646466e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Under-sintered Alumina,Al2O3,Failure Case,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,1.0955612794612794e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Phase-separated Zirconia,ZrO2,Failure Case,0.95,0.9374270482603815,2153.2048958526225,10.557916666666646,229.90398358585855,13.99092204334531,18.46801709721581,8.500583613916947e-06,13980371652764.748,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Geopolymer (Wrong Activator Ratio),Fly Ash,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Bloated Ceramic,Clay,Failure Case,0.95,0.9326094276094276,2131.130284027777,9.842499999999987,228.72246212121212,13.919019962978641,18.37310635113181,8.539124579124578e-06,14043757538008.77,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Devitrified Glass,Glass,Failure Case,0.95,0.9652062289562289,2282.709413585069,14.683124999999984,236.71682765151513,14.405521080427555,19.015287826164368,8.278350168350168e-06,13614878375619.46,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Thermal Shocked SiC,SiC,Failure Case,0.95,0.8400035072951739,1728.9108375301405,-3.909479166666676,206.0108601641414,12.536894053262955,16.548700150307102,9.279971941638608e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Agglomerated Nanoparticles in Concrete,OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Contaminated Raw Material (Fe),Al2O3,Failure Case,0.95,0.8784708193041526,1890.8848296489195,1.8029166666666585,215.44496843434342,13.111011436085873,17.30653509563335,8.972233445566778e-06,1.1439597643097643e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Wrong Firing Atmosphere (Oxidized Si3N4),Si3N4,Failure Case,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
PZT Depoled,PZT,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
C/C Composite (Oxidized),Carbon,Failure Case,0.95,0.9652062289562289,2282.709413585069,14.683124999999984,236.71682765151513,14.405521080427555,19.015287826164368,8.278350168350168e-06,13614878375619.46,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Geopolymer (Efflorescence),Fly Ash,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Concrete (Alkali-Silica Reaction),OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Slump Failed Concrete,OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Segregated Concrete Mix,OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Freeze-Thaw Damaged Concrete,OPC,Failure Case,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: Nano-Silica in OPC,OPC,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: Graphene Oxide in OPC,OPC,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: CNTs in OPC,OPC,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: SiC particles in Al2O3,Al2O3,Dosage Study,0.95,0.8666673681257014,1840.4129791678722,0.05010416666666018,212.55017203282827,12.934847151529969,17.07399824001956,9.066661054994387e-06,1.1559992845117845e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Dosage Study: Y2O3 in ZrO2,ZrO2,Dosage Study,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,14543212102911.338,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: Basalt Fibers in Geopolymer,Fly Ash Geopolymer,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Dosage Study: TiO2 in OPC,OPC,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: Bacterial Spores in OPC,OPC,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,13556217821366.258,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Dosage Study: Slag in Fly Ash Geopolymer,Fly Ash Geopolymer,Dosage Study,0.95,0.969664702581369,2303.8466692177844,15.345208333333302,237.81026830808077,14.47206295911284,19.10312310602895,8.242682379349047e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Dosage Study: Cobalt in WC,WC,Dosage Study,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
