material_name,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,simulated_piezo_response_pc_n,dosage_percent,additive
Geopolymer + 36.8421% Slag,Geopolymer,0.953533,0.967956,0.673622,1315649474.277868,0.172578,3224.937111,313.987069,13.040735,0,36.842105,Slag
Geopolymer + 42.1053% Slag,Geopolymer,0.957568,0.969949,0.643208,1321074009.405320,0.165126,3269.762966,308.406691,12.477587,0,42.105263,Slag
Geopolymer + 47.3684% Slag,Geopolymer,0.959724,0.971058,0.631048,1324094589.050628,0.162189,3297.541822,307.017121,12.255689,0,47.368421,Slag
Geopolymer + 52.6316% Slag,Geopolymer,0.959724,0.971058,0.706897,1324094589.050628,0.181683,3335.466187,335.847150,13.728759,0,52.631579,Slag
Geopolymer + 57.8947% Slag,Geopolymer,0.957568,0.969949,0.737249,1321074009.405320,0.189268,3316.783378,344.032999,14.301883,0,57.894737,Slag
Geopolymer + 63.1579% Slag,Geopolymer,0.953533,0.967956,0.706700,1315649474.277868,0.181052,3241.475935,326.319365,13.681089,0,63.157895,Slag
Geopolymer + 68.4211% Slag,Geopolymer,0.948113,0.965432,0.619047,1308796051.393633,0.158183,3123.205604,287.037274,11.952951,0,68.421053,Slag
Geopolymer + 73.6842% Slag,Geopolymer,0.941921,0.962741,0.691348,1301511273.215045,0.176165,3081.917801,305.525196,13.311775,0,73.684211,Slag
Geopolymer + 78.9474% Slag,Geopolymer,0.935576,0.960174,0.710452,1294580346.428621,0.180550,3019.385313,305.094378,13.643152,0,78.947368,Slag
Geopolymer + 84.2105% Slag,Geopolymer,0.929604,0.957915,0.612001,1288494911.535317,0.155165,2908.128685,265.221627,11.724896,0,84.210526,Slag
Geopolymer + 89.4737% Slag,Geopolymer,0.924375,0.956049,0.665602,1283479691.394195,0.168426,2884.680227,278.545174,12.726950,0,89.473684,Slag
Geopolymer + 94.7368% Slag,Geopolymer,0.920084,0.954589,0.687889,1279562936.434079,0.173799,2857.123239,282.251962,13.133016,0,94.736842,Slag
Geopolymer + 100.0000% Slag,Geopolymer,0.916767,0.953501,0.642404,1276649631.687028,0.162122,2805.900723,264.429102,12.250656,0,100.000000,Slag
Tungsten Carbide + 2.0000% Cobalt,Cermet,0.994912,0.995157,0.633567,1390632252.165467,0.166877,4127.236647,385.305125,12.609971,0,2.000000,Cobalt
Tungsten Carbide + 2.9474% Cobalt,Cermet,1.000236,0.999990,0.602486,1404171916.140420,0.159462,4300.842997,388.145042,12.049599,0,2.947368,Cobalt
Tungsten Carbide + 3.8947% Cobalt,Cermet,1.006271,0.999990,0.722539,1404171916.140420,0.191236,4360.869639,445.916033,14.450640,0,3.894737,Cobalt
Tungsten Carbide + 4.8421% Cobalt,Cermet,1.012628,0.999990,0.611450,1404171916.140420,0.161834,4305.324944,392.408779,12.228875,0,4.842105,Cobalt
Tungsten Carbide + 5.7895% Cobalt,Cermet,1.018765,0.999990,0.624488,1404171916.140420,0.165285,4311.843893,398.624686,12.489630,0,5.789474,Cobalt
Tungsten Carbide + 6.7368% Cobalt,Cermet,1.024060,0.999990,0.721886,1404171916.140420,0.191064,4360.543166,445.597930,14.437582,0,6.736842,Cobalt
Tungsten Carbide + 7.6842% Cobalt,Cermet,1.027908,0.999990,0.603919,1404171916.140420,0.159841,4301.559333,388.825962,12.078252,0,7.684211,Cobalt
Tungsten Carbide + 8.6316% Cobalt,Cermet,1.029833,0.999990,0.672759,1404171916.140420,0.178061,4335.979488,421.786281,13.455044,0,8.631579,Cobalt
Tungsten Carbide + 9.5789% Cobalt,Cermet,1.029588,0.999990,0.648717,1404171916.140420,0.171698,4323.958381,410.221164,12.974205,0,9.578947,Cobalt
Tungsten Carbide + 10.5263% Cobalt,Cermet,1.027205,0.999990,0.602572,1404171916.140420,0.159484,4300.886020,388.185931,12.051320,0,10.526316,Cobalt
Tungsten Carbide + 11.4737% Cobalt,Cermet,1.022989,0.999990,0.676655,1404171916.140420,0.179092,4337.927580,423.665920,13.532967,0,11.473684,Cobalt
Tungsten Carbide + 12.4211% Cobalt,Cermet,1.017451,0.999990,0.736057,1404171916.140420,0.194814,4367.628441,452.511135,14.720990,0,12.421053,Cobalt
Tungsten Carbide + 13.3684% Cobalt,Cermet,1.011213,0.999990,0.711600,1404171916.140420,0.188341,4355.399846,440.592098,14.231851,0,13.368421,Cobalt
Tungsten Carbide + 14.3158% Cobalt,Cermet,1.004886,0.999990,0.663201,1404171916.140420,0.175531,4331.200319,417.181475,13.263879,0,14.315789,Cobalt
Tungsten Carbide + 15.2632% Cobalt,Cermet,0.998981,0.998992,0.612011,1401369191.631332,0.161821,4265.848374,389.049893,12.227868,0,15.263158,Cobalt
Tungsten Carbide + 16.2105% Cobalt,Cermet,0.993850,0.994205,0.748454,1387971386.290815,0.196949,4148.364494,434.936970,14.882330,0,16.210526,Cobalt
Tungsten Carbide + 17.1579% Cobalt,Cermet,0.989668,0.990628,0.654932,1378003797.076734,0.171720,3968.018082,378.918939,12.975893,0,17.157895,Cobalt
Tungsten Carbide + 18.1053% Cobalt,Cermet,0.986456,0.988057,0.749837,1370858945.548264,0.196093,3922.064103,411.752903,14.817636,0,18.105263,Cobalt
Tungsten Carbide + 19.0526% Cobalt,Cermet,0.984124,0.986277,0.748834,1365924207.634479,0.195478,3858.176318,404.658564,14.771148,0,19.052632,Cobalt
Tungsten Carbide + 20.0000% Cobalt,Cermet,0.982520,0.985092,0.624682,1362645015.372512,0.162873,3754.483408,347.170482,12.307396,0,20.000000,Cobalt
