name,mw,logp,tpsa,rings,heteroatoms,rotbonds,persistence,biodeg,toxicity,category,pmi1,pmi2,pmi3,radius_of_gyration,spherocity
Vinylidene Chloride,97.0,2.13,0.0,0,0,0,0.45,0.55,0.78,Monomer,37.899312506534386,25.741729303278767,15.76755811198323,2.73181918957107,0.7482050997581757
Vinyl Acetate,86.1,0.73,26.3,0,2,2,0.28,0.72,0.35,Monomer,26.48520685049976,17.405948316947395,22.84761848208938,2.8327938684796945,0.8495566476622687
Acrylonitrile,53.1,0.25,23.8,0,1,1,0.32,0.68,0.68,Monomer,23.668125177005468,18.06473965654933,11.628406050852208,2.146155810435935,0.8748736772877679
Methacrylonitrile,67.1,0.74,23.8,0,1,1,0.34,0.66,0.66,Monomer,27.216673646108497,14.940080086128082,17.364048914847004,2.1287535625272644,0.30631562778582083
Methyl Methacrylate,100.1,1.38,26.3,0,2,3,0.38,0.62,0.4,Monomer,34.075660340452146,35.49306916081963,29.816599569549265,2.770042922599174,0.8942245256127825
Ethyl Acrylate,100.1,1.32,26.3,0,2,4,0.36,0.64,0.42,Monomer,32.233676678824764,29.86719379478248,23.606750081786007,2.8051455679633417,0.7098109910964966
Butyl Acrylate,128.2,2.36,26.3,0,2,6,0.4,0.6,0.38,Monomer,48.29006482352443,45.74893445543515,38.07412611151255,3.7656787169398664,0.6861144962245136
Acrylic Acid,72.1,0.36,37.3,0,2,1,0.22,0.78,0.45,Monomer,33.701875523692266,22.84022069523143,7.625819834210991,2.903095683017329,0.30912785711721324
Methacrylic Acid,86.1,0.93,37.3,0,2,1,0.24,0.76,0.43,Monomer,40.730372309441634,18.639500944167022,14.43277060169118,3.099699421151433,0.8167400471320425
Terephthalic Acid,166.1,1.53,74.6,1,4,2,0.48,0.52,0.28,Monomer,69.85655675674305,58.65497062534619,20.19288544875991,4.046614433341413,0.3872948683486958
Isophthalic Acid,166.1,1.66,74.6,1,4,2,0.47,0.53,0.27,Monomer,73.99876011258533,35.53873888820359,25.32376982059108,3.8469231559559094,0.8023980923598246
Ethylene Glycol,62.1,-1.36,40.5,0,2,1,0.12,0.88,0.65,Monomer,20.06023487954365,18.365475369471106,16.62898770714212,2.447080322184564,0.3093375277552296
Propylene Glycol,76.1,-0.92,40.5,0,2,2,0.1,0.9,0.15,Monomer,31.78127871642075,17.84315503928634,8.101960098263095,2.9605842332603403,0.6875785574994968
"1,4-Butanediol",90.1,-0.51,40.5,0,2,3,0.15,0.85,0.2,Monomer,39.04872197683901,31.577079907161487,18.383696501897735,2.4661190487529097,0.5608809202618967
"1,6-Hexanediol",118.2,0.3,40.5,0,2,5,0.18,0.82,0.18,Monomer,40.204851606482045,45.19001662533684,25.226922646065297,3.1825608427428045,0.42046003743560106
Lactic Acid,90.1,-0.72,57.5,0,3,1,0.08,0.92,0.1,Monomer,42.89038828704287,28.0053534637161,19.12194366302865,2.9479543545946205,0.3645368350622605
"Lactide (D,L)",144.1,-0.15,52.6,1,4,0,0.18,0.82,0.08,Monomer,48.84980597535579,44.012385021702386,28.108061667586227,3.71376237545439,0.5640766179277958
Caprolactone,114.1,0.75,26.3,1,2,0,0.22,0.78,0.12,Monomer,41.383553351695994,40.2536401401506,29.451559656045816,2.778013617415538,0.37398348319285485
Succinic Acid,118.1,-0.59,74.6,0,4,3,0.1,0.9,0.08,Monomer,50.08755272669409,23.739961562486677,14.964287774121118,3.2459787581661694,0.5918679670146285
Adipic Acid,146.1,0.08,74.6,0,4,5,0.15,0.85,0.1,Monomer,62.482588903119954,56.0369075377994,23.685060394394004,3.9022775175937583,0.6751302351917114
Bisphenol A,228.3,3.32,40.5,2,2,2,0.65,0.35,0.72,Monomer,100.4239072734832,54.67551298838108,50.94405160030659,4.318285837527325,0.796430516164415
Phenol,94.1,1.46,20.2,1,1,0,0.42,0.58,0.58,Monomer,30.33806043994363,37.341117393609785,22.413704713162925,3.1288263637167657,0.70718966230972
Ethylene - Isomer/Analog 1,28.3219410631494,0.9348245475329429,0.0,0,0,0,0.1673689986706284,0.8326310013293716,0.20926905505458437,Monomer,13.308278622880488,9.834816396959335,5.121447719425748,1.450177869802914,0.33911986002369027
Propylene - Isomer/Analog 2,39.8515187774256,2.083063772785966,0.0,0,0,0,0.1999853391906502,0.8000146608093498,0.17787170815483408,Monomer,16.202409132764423,14.141320585692444,10.96212674528336,2.14217992824091,0.48445951952870236
1-Butene - Isomer/Analog 3,60.30415276751671,2.614019877061634,0.0,0,0,1,0.22987604663200023,0.7701239533679998,0.2256683342833642,Monomer,23.775778125129435,19.97518350849329,11.04161073040064,2.272151704321123,0.4727871647595002
Isobutylene - Isomer/Analog 4,59.09785260180725,2.3641051639371238,0.0,0,0,0,0.1888529103573228,0.8111470896426772,0.24173050261609008,Monomer,29.3255083408387,17.394426771148783,10.670426184029425,2.304364622208929,0.8490194540826506
"1,3-Butadiene - Isomer/Analog 5",58.14318637549619,1.4854539024600313,0.0,0,0,1,0.23040828593262266,0.7695917140673774,0.37988534036365107,Monomer,26.052546574131693,18.275888377597887,6.235359748111089,1.7885702978512104,0.8206692266356581
Styrene - Isomer/Analog 6,101.17032576523378,2.422420300001756,0.0,1,0,1,0.3286123526478789,0.6713876473521211,0.49139370523098025,Monomer,32.738839360638735,21.172984171966213,21.26886228162487,2.520632531311653,0.5220887510102502
Alpha-methylstyrene - Isomer/Analog 7,107.3750830030036,2.8498965096677322,0.0,1,0,1,0.3387261815530221,0.661273818446978,0.6135919262616469,Monomer,48.45921607608924,34.87455742375591,25.956441071871158,3.150366477809562,0.34269315352954866
Vinyl Chloride - Isomer/Analog 8,66.0793126801944,1.257781250506088,0.0,0,0,0,0.3901096930941914,0.6098903069058086,0.8637354922686495,Monomer,21.082590622148007,21.490288985974544,8.120330305934845,2.2714031777500012,0.8364643906828402
Vinylidene Chloride - Isomer/Analog 9,105.62780123245336,2.822916826621856,0.0,0,0,0,0.5163077645284919,0.4836922354715081,0.6962815708316344,Monomer,32.26867139310906,39.95267638372313,17.015218424486946,2.9765582220816387,0.8329139717785123
Vinyl Acetate - Isomer/Analog 10,93.72384115060686,0.5308309259360002,26.693570686849927,0,2,2,0.2890498907698242,0.7109501092301758,0.3517763915423112,Monomer,35.68302620369152,28.22317945423825,24.016864641890894,2.306150345492745,0.8128476792184351
Acrylonitrile - Isomer/Analog 11,50.2397134004426,0.09473990472753277,23.053723063903327,0,1,1,0.34684010946240834,0.6531598905375917,0.6392340704933507,Monomer,25.055330548807373,10.823084928996566,8.70070885261022,2.319602215414791,0.807048982641301
Methacrylonitrile - Isomer/Analog 12,61.16624871948078,0.5603226810321993,24.916464259735132,0,1,1,0.37914616026626946,0.6208538397337305,0.7729266027635363,Monomer,20.489273483511585,15.979020909715626,9.072208128824077,2.5146259181100836,0.5881524006516928
Methyl Methacrylate - Isomer/Analog 13,110.00805460938163,1.267980219487029,26.979167191101762,0,2,3,0.40234635045813233,0.5976536495418676,0.34462334501437686,Monomer,47.801675517891844,36.42651415615405,25.790302922124848,2.646691990366621,0.40645899134975894
Ethyl Acrylate - Isomer/Analog 14,106.42297916231216,0.9679289378963625,25.575278703930415,0,2,4,0.3301723024008433,0.6698276975991567,0.4262117030460935,Monomer,35.617558936829795,26.377124025461942,14.83022897546174,3.1380303970919488,0.5864928302774566
Butyl Acrylate - Isomer/Analog 15,130.58297992934126,2.1079669764249984,27.292722068717897,0,2,6,0.3718720051106448,0.6281279948893552,0.3236862680349863,Monomer,58.10386257961016,33.443027772061384,36.4497034372513,3.7187948475113837,0.596758662401679
Acrylic Acid - Isomer/Analog 16,77.70574731171064,0.40940934823114217,38.999580088396975,0,2,1,0.2439004227395197,0.7560995772604803,0.5057128934504781,Monomer,31.165501082940107,28.29218107482698,9.411695186796916,2.6880686341997206,0.5939590519469164
Methacrylic Acid - Isomer/Analog 17,88.77326690660395,0.6748330624013414,36.9585304847537,0,2,1,0.2308335732248866,0.7691664267751134,0.38867765080677613,Monomer,38.70464209372201,28.12904768263403,21.421873526832723,2.5136064805382303,0.6232635516690697
Terephthalic Acid - Isomer/Analog 18,173.52201617673478,1.5614205895914393,74.56923298368763,1,4,2,0.4196706550907013,0.5803293449092988,0.2486605186183789,Monomer,59.09719735558351,52.3525442838524,34.68874118280973,4.040107359115469,0.4545942137946931
Isophthalic Acid - Isomer/Analog 19,172.18785612877178,0.6157573513719747,75.28936207355999,1,4,2,0.515780016195446,0.484219983804554,0.2535633944534369,Monomer,77.33398564774677,45.40428351461081,47.17704687931297,3.34929677651847,0.519744708680169
Ethylene Glycol - Isomer/Analog 20,64.31096061478358,-1.6210669726430535,40.76621445418295,0,2,1,0.11161301772609916,0.8883869822739008,0.748443796452341,Monomer,32.09913181057983,22.263528949182803,8.054241567231825,2.1467084771633376,0.5605119551780817
Propylene Glycol - Isomer/Analog 21,80.62682404885744,-0.6401010072048297,41.9875415138872,0,2,2,0.10625088930145105,0.8937491106985489,0.17022079970182033,Monomer,34.921904373057856,20.764929528419554,18.99398526832547,2.3225799218691057,0.3786727257098999
"1,4-Butanediol - Isomer/Analog 22",93.65843573928049,-0.383494522826322,41.229570125629216,0,2,3,0.15533751201968327,0.8446624879803167,0.2202173311646113,Monomer,37.34124365940992,32.5381303684651,20.08139210655339,2.857332790530446,0.5732184807369003
"1,6-Hexanediol - Isomer/Analog 23",110.12942468912827,0.18890298942081102,41.486208437981006,0,2,5,0.16168103438660864,0.8383189656133914,0.2028936257365725,Monomer,53.37255145765998,23.56993207616759,21.58735270167644,2.554690845911544,0.7862817702417558
Lactic Acid - Isomer/Analog 24,96.08505788679851,-0.97006769618378,57.5429394691248,0,3,1,0.06815326092120401,0.931846739078796,0.09148152532699652,Monomer,29.130142401731998,35.830912547648694,19.05188485926409,3.3201317323342763,0.7968357256397258
"Lactide (D,L) - Isomer/Analog 25",147.4698337875889,-0.14260737047142472,51.33656683639748,1,4,0,0.187236307967379,0.812763692032621,0.08127953215090739,Monomer,65.76929014962306,44.228163421498266,36.04094788973844,3.2721339061283254,0.5469382631406182
Caprolactone - Isomer/Analog 26,120.4860719173491,0.7769868444380369,25.266359080114903,1,2,0,0.23722784156513382,0.7627721584348661,0.12198079577645328,Monomer,57.562136923429236,34.664036070735065,34.6455688870091,2.8124787305193597,0.6112849872506121
Succinic Acid - Isomer/Analog 27,129.03587113114946,-0.22730541676806026,77.82292966710472,0,4,3,0.08807529183972038,0.9119247081602796,0.09399131159156644,Monomer,40.30240806418107,41.575961864197716,15.25853457843276,3.2746495823682493,0.320190199281034
Adipic Acid - Isomer/Analog 28,151.59002080562976,-0.35244827441908455,71.37606446092457,0,4,5,0.1410433605126067,0.8589566394873933,0.10832688354581128,Monomer,59.122053633127585,49.24226202453692,15.750283431971702,3.237183283807533,0.7046595338811582
Bisphenol A - Isomer/Analog 29,208.54522846306415,2.777012329705788,40.98970784695828,2,2,2,0.56141969659344,0.43858030340655996,0.8270026001718844,Monomer,71.1022215978865,47.21610691854987,54.45970085066207,4.226988133252679,0.5427635297681179
Phenol - Isomer/Analog 30,103.0110623999186,1.7495044883189688,21.1471332676771,1,1,0,0.45145613079960845,0.5485438692003916,0.49418000771030657,Monomer,42.57484634118666,36.1822975818782,12.529634946142309,2.752349355138367,0.5672866098500076
Ethylene - Isomer/Analog 1 - Isomer/Analog 31,29.784844065925878,0.8955130254332441,0.0,0,0,0,0.17657238776370435,0.8234276122362957,0.20474069924756508,Monomer,12.804760367003798,7.600665078748968,8.856206448913406,1.3435933428741473,0.8242036363078589
Propylene - Isomer/Analog 2 - Isomer/Analog 32,38.04725454554868,1.4724917005983147,0.0,0,0,0,0.19555654199736489,0.8044434580026352,0.1744129589464461,Monomer,13.716972618119502,14.495713910878347,8.517625550650216,1.6138785809144118,0.5771006607363651
1-Butene - Isomer/Analog 3 - Isomer/Analog 33,56.24717667267449,2.8086107774779223,0.0,0,0,1,0.2010758683622743,0.7989241316377257,0.2419615250187683,Monomer,22.048687049917536,20.449793485926524,12.946597092100737,2.111697853659544,0.31271534773671167
Isobutylene - Isomer/Analog 4 - Isomer/Analog 34,60.92410879518981,2.6602978337141114,0.0,0,0,0,0.21439697912884076,0.7856030208711593,0.20799052213460165,Monomer,21.68093447691323,16.40401175634651,8.515870829170249,1.8298804889717524,0.43649453452143744
"1,3-Butadiene - Isomer/Analog 5 - Isomer/Analog 35",57.35633232067319,1.4510768123676407,0.0,0,0,1,0.2233297561620354,0.7766702438379646,0.34557640648176563,Monomer,21.444284173163545,20.737059129991813,8.492319778092277,2.422928232596435,0.5853723685849554
Styrene - Isomer/Analog 6 - Isomer/Analog 36,110.96316102667127,2.6124005506928287,0.0,1,0,1,0.3674641125971757,0.6325358874028243,0.43831426251428446,Monomer,36.829559888842525,30.101875477772467,25.729034873824446,3.1890579162570907,0.5546377756491214
Alpha-methylstyrene - Isomer/Analog 7 - Isomer/Analog 37,101.214001759308,2.8721583738077787,0.0,1,0,1,0.37575148515867873,0.6242485148413213,0.6070166522785043,Monomer,48.29040354400198,22.28626411720326,28.536818930963108,3.02196937490824,0.8162220823682884
Vinyl Chloride - Isomer/Analog 8 - Isomer/Analog 38,72.26689266379219,1.1889604696869822,0.0,0,0,0,0.43325073436976297,0.5667492656302371,0.9592980997910633,Monomer,21.82475205221718,28.35591335326941,21.425551817828072,2.4992285622335872,0.6252825055837
Vinylidene Chloride - Isomer/Analog 9 - Isomer/Analog 39,111.35117698357168,2.9608955343684995,0.0,0,0,0,0.4591904246698208,0.5408095753301791,0.5660842084050358,Monomer,53.05681339339786,36.80383589593234,15.545313495665798,3.156232941886494,0.7137814451490727
Vinyl Acetate - Isomer/Analog 10 - Isomer/Analog 40,101.61253651805731,0.7130852240808515,27.004952028480183,0,2,2,0.3147641122395772,0.6852358877604228,0.3491763913386703,Monomer,42.10170913600017,29.591593265385715,12.886900663883056,3.4158564889110483,0.5815939782260822
Acrylonitrile - Isomer/Analog 11 - Isomer/Analog 41,46.39444801899747,0.20723328622944542,22.89305220408589,0,1,1,0.31567909849064635,0.6843209015093537,0.6370848496530255,Monomer,16.995750928051923,12.96978461998934,5.162786774066522,1.5797529515977748,0.563793440435499
Methacrylonitrile - Isomer/Analog 12 - Isomer/Analog 42,55.83510781056293,0.3331028259627066,25.12070801034718,0,1,1,0.35287058115488473,0.6471294188451153,0.8649231406742863,Monomer,24.824926853823527,14.793013031107595,15.279802305181907,1.766894117742215,0.5677720010846108
Methyl Methacrylate - Isomer/Analog 13 - Isomer/Analog 43,105.83571221363131,1.1849105675481157,25.825664501375115,0,2,3,0.3893699028889813,0.6106300971110187,0.3418579266605084,Monomer,42.49837578816719,41.94158349524582,16.82184236476026,2.6033086156513825,0.5465529418163033
Ethyl Acrylate - Isomer/Analog 14 - Isomer/Analog 44,108.5518761039729,0.9603122239810163,25.04244994253364,0,2,4,0.34948558788150114,0.6505144121184989,0.4876070551305146,Monomer,43.40139907465528,24.63578890676247,10.894527545611531,2.6073980879334857,0.623150031512522
Butyl Acrylate - Isomer/Analog 15 - Isomer/Analog 45,137.8917351425146,2.1007138832955596,26.214468984900822,0,2,6,0.34309413395679883,0.6569058660432012,0.38669666747773473,Monomer,44.40506264360518,36.26015018974266,19.961706362770986,2.9575552908284246,0.4502660410521622
Acrylic Acid - Isomer/Analog 16 - Isomer/Analog 46,72.14971711048958,0.23810793233927022,38.995243933544984,0,2,1,0.25254589280430595,0.747454107195694,0.546668551880968,Monomer,27.26560934953954,21.435646902938796,12.12751723544147,2.6206801414587098,0.8346331163050926
Methacrylic Acid - Isomer/Analog 17 - Isomer/Analog 47,89.83230860656623,0.41193746200908704,36.40646957310303,0,2,1,0.19850785491449932,0.8014921450855007,0.3231588029166771,Monomer,31.280765924178343,26.554422250336682,26.78774594126966,2.691717802816383,0.4998513288563238
Terephthalic Acid - Isomer/Analog 18 - Isomer/Analog 48,169.9447999898565,1.5727186595418206,71.83042253288751,1,4,2,0.4281741287012942,0.5718258712987059,0.26750550161265396,Monomer,51.51692750440083,50.01021658089386,34.78911428986814,4.503527305980415,0.3885143005064081
Isophthalic Acid - Isomer/Analog 19 - Isomer/Analog 49,182.53933198885522,0.46771850646277,72.31217856910067,1,4,2,0.5368904150911957,0.4631095849088043,0.2745052688855401,Monomer,67.90826880713664,42.92535846099702,25.72760264744778,3.4741259971516145,0.35793028715864705
Ethylene Glycol - Isomer/Analog 20 - Isomer/Analog 50,58.28613161647617,-1.7545619690552114,42.54448665197406,0,2,1,0.09661126660821627,0.9033887333917837,0.760806990841262,Monomer,18.53291637649744,13.346737593417805,9.731666383163397,2.0371358923316665,0.30805374907207655
Propylene Glycol - Isomer/Analog 21 - Isomer/Analog 51,83.9980011923238,-0.5221220617897264,43.25442355526705,0,2,2,0.10113332135559996,0.8988666786444001,0.1916567127530795,Monomer,29.514042320710075,21.079593842504135,13.94883722587966,3.158185939896025,0.553713647140117
"1,4-Butanediol - Isomer/Analog 22 - Isomer/Analog 52",85.79327840372873,-0.17906099871913628,42.857382226410614,0,2,3,0.15755537641053116,0.8424446235894688,0.2481671183988606,Monomer,27.325444368745323,32.85069506487196,8.91779513198019,3.0286714097419183,0.4125665931272548
"1,6-Hexanediol - Isomer/Analog 23 - Isomer/Analog 53",109.0791927102902,0.30930607752824796,42.44698555514041,0,2,5,0.14138828520811714,0.8586117147918828,0.16721292184589948,Monomer,34.925884018398335,24.282183835036196,13.857050954455225,2.9785299752791516,0.31298874155234874
Lactic Acid - Isomer/Analog 24 - Isomer/Analog 54,91.22513780689467,-0.3153155889306538,55.58385948270597,0,3,1,0.07575473964725625,0.9242452603527438,0.08120683223620795,Monomer,30.99850789369921,32.064269448105534,21.806392348547615,2.817403246582641,0.6120117277737143
"Lactide (D,L) - Isomer/Analog 25 - Isomer/Analog 55",161.50498782377605,-0.4520802445324721,52.823779513829926,1,4,0,0.1961510653465289,0.8038489346534711,0.08122087162188481,Monomer,80.74762435841036,56.77056636654046,20.034725606758318,4.172212076849659,0.7079871291904569
Caprolactone - Isomer/Analog 26 - Isomer/Analog 56,121.82017927332335,0.618197373174171,25.82020216419758,1,2,0,0.21790241288476722,0.7820975871152328,0.14619807819703118,Monomer,36.59926831688272,44.09331100926386,17.803636115463927,3.161930296202027,0.3514506305466626
Succinic Acid - Isomer/Analog 27 - Isomer/Analog 57,141.2889409880941,-0.5656535829184521,79.22551865058034,0,4,3,0.07677166684612363,0.9232283331538764,0.07634547682760799,Monomer,60.434158375533514,53.31158089820827,24.0399543901234,3.0278449484729455,0.5765524637517958
Adipic Acid - Isomer/Analog 28 - Isomer/Analog 58,144.24344961120073,-0.18316505801106367,71.10928183601123,0,4,5,0.15662607803676523,0.8433739219632348,0.11817029049212534,Monomer,47.3477305311989,36.436939046392055,36.28400541831259,3.9225192686621058,0.746177207160448
Bisphenol A - Isomer/Analog 29 - Isomer/Analog 59,218.66828584568927,2.2177128712130596,40.46109950407393,2,2,2,0.6435525176284262,0.35644748237157375,0.6748702423730735,Monomer,105.86292106487802,53.55446401222732,47.3373527170785,4.333262056135567,0.8914840926050551
Phenol - Isomer/Analog 30 - Isomer/Analog 60,110.5727232698796,1.479024264508297,21.313509202674034,1,1,0,0.44314239719658144,0.5568576028034186,0.5387071406546098,Monomer,35.242465781671385,32.4089905030767,26.29419326160639,2.614243238935004,0.7003142067855366
Ethylene - Isomer/Analog 1 - Isomer/Analog 31 - Isomer/Analog 61,29.705431365746087,0.4056273412706491,0.0,0,0,0,0.19841598193223497,0.801584018067765,0.18104500895086922,Monomer,14.585742200749653,7.516003894782477,6.33921227983481,1.5768725186882686,0.44690373048571236
Propylene - Isomer/Analog 2 - Isomer/Analog 32 - Isomer/Analog 62,38.98296272663595,1.300661173233757,0.0,0,0,0,0.20923257496479086,0.7907674250352091,0.14870921086306876,Monomer,16.45803293638814,13.521708331392176,9.227987879190552,1.7398055610366967,0.7299321838673998
1-Butene - Isomer/Analog 3 - Isomer/Analog 33 - Isomer/Analog 63,58.675085656443926,2.905750815759706,0.0,0,0,1,0.1858281489994602,0.8141718510005398,0.2778444096237502,Monomer,17.617406601260246,19.197778958814048,5.900861287580865,2.544557828499639,0.658757656091898
Isobutylene - Isomer/Analog 4 - Isomer/Analog 34 - Isomer/Analog 64,60.25766307624126,2.5728508400160646,0.0,0,0,0,0.20534299701999004,0.79465700298001,0.21572368058372418,Monomer,28.85145582683346,22.596475275755445,17.244515655990483,1.9056805178831706,0.42707957314892864
"1,3-Butadiene - Isomer/Analog 5 - Isomer/Analog 35 - Isomer/Analog 65",53.496525004275874,1.5633608290408325,0.0,0,0,1,0.23383094448413264,0.7661690555158673,0.3214123307127504,Monomer,21.63091118665299,11.584547345116674,6.536421881322416,2.428296395265473,0.810666495508533
Styrene - Isomer/Analog 6 - Isomer/Analog 36 - Isomer/Analog 66,117.03224952307716,2.586347117553771,0.0,1,0,1,0.4192568246199552,0.5807431753800447,0.4302123812787337,Monomer,41.25784085839473,44.82530210540971,21.212074066086444,3.1381829645072705,0.5564426563365605
Alpha-methylstyrene - Isomer/Analog 7 - Isomer/Analog 37 - Isomer/Analog 67,95.8709239858641,2.243611117003783,0.0,1,0,1,0.3679607504705576,0.6320392495294425,0.546002803870814,Monomer,43.47322993646669,24.79890557494198,24.37112459537221,2.7183984834693713,0.8771865928404756
Vinyl Chloride - Isomer/Analog 8 - Isomer/Analog 38 - Isomer/Analog 68,73.96003349839515,1.2652126373608428,0.0,0,0,0,0.3899744329948824,0.6100255670051176,0.8317571981023909,Monomer,35.89525313097491,22.0503607521256,13.833939046541026,2.14692570393688,0.7337406044686668
Vinylidene Chloride - Isomer/Analog 9 - Isomer/Analog 39 - Isomer/Analog 69,101.03274059535792,3.21501923736401,0.0,0,0,0,0.5066023570561113,0.49339764294388866,0.6352982270313466,Monomer,40.083544071276414,29.06937120496108,29.235693640989975,3.1346983012207166,0.6867378927790933
Vinyl Acetate - Isomer/Analog 10 - Isomer/Analog 40 - Isomer/Analog 70,103.34715121190543,1.0798354985469156,27.99946685485293,0,2,2,0.2869869231255037,0.7130130768744962,0.2949729885994547,Monomer,37.52645589131449,36.38463887735356,19.999512274294126,3.435679670040096,0.7370117024859372
Acrylonitrile - Isomer/Analog 11 - Isomer/Analog 41 - Isomer/Analog 71,44.257980083031676,0.22174882171518645,23.89257589471685,0,1,1,0.27205321375194896,0.7279467862480511,0.5407856302057091,Monomer,20.26081754125289,12.572216664020191,12.17040816570769,1.8247264802684628,0.586858211290933
Methacrylonitrile - Isomer/Analog 12 - Isomer/Analog 42 - Isomer/Analog 72,55.30131332871412,0.12683979056082917,26.210632773177455,0,1,1,0.33340865053129526,0.6665913494687048,0.8674261620554632,Monomer,24.131120685848767,21.496208295713192,14.498103243426826,1.9248296631806114,0.6031358866810044
Methyl Methacrylate - Isomer/Analog 13 - Isomer/Analog 43 - Isomer/Analog 73,96.13211962153922,1.226713345634495,26.775837945194336,0,2,3,0.38408302148400564,0.6159169785159944,0.3439905770582047,Monomer,45.92716790282602,36.5789229579686,28.47407048370082,2.892490292348134,0.8107244312668465
Ethyl Acrylate - Isomer/Analog 14 - Isomer/Analog 44 - Isomer/Analog 74,108.30973117635563,1.0960726915274168,25.460318924213276,0,2,4,0.31170457995934575,0.6882954200406542,0.39593177766021426,Monomer,47.49412066451151,40.55465421772671,30.901801328672967,3.360231170944722,0.7085571219861018
Butyl Acrylate - Isomer/Analog 15 - Isomer/Analog 45 - Isomer/Analog 75,132.59476041793164,1.8191735102338051,26.66911289933801,0,2,6,0.3914613539053112,0.6085386460946888,0.3238817715300046,Monomer,46.23654447565166,28.408648392640938,37.076778979670806,2.664280340976699,0.8383459951149852
Acrylic Acid - Isomer/Analog 16 - Isomer/Analog 46 - Isomer/Analog 76,74.6403559110124,0.4313883801920607,38.775896541602314,0,2,1,0.28043773709753306,0.7195622629024669,0.47607172905006273,Monomer,36.29998237126372,27.680496333049998,18.385477263584168,2.6250607925442297,0.8344960521445612
Methacrylic Acid - Isomer/Analog 17 - Isomer/Analog 47 - Isomer/Analog 77,93.29311540376912,0.40267117133761304,36.835509769569,0,2,1,0.22047701605534042,0.7795229839446596,0.3322860673958988,Monomer,29.94402531363652,33.24286424383581,16.176991641589627,2.8959107264566906,0.8858940204265495
Terephthalic Acid - Isomer/Analog 18 - Isomer/Analog 48 - Isomer/Analog 78,153.98314454736263,2.173740839696452,74.92594522171379,1,4,2,0.45251926414785193,0.5474807358521481,0.28639282233413005,Monomer,54.446676808232915,33.98447872574624,18.66661958814201,3.3216043781660964,0.7201287953072006
Isophthalic Acid - Isomer/Analog 19 - Isomer/Analog 49 - Isomer/Analog 79,172.15923843902448,0.14084057697437424,73.40577717323677,1,4,2,0.473525485713882,0.526474514286118,0.29183701599849066,Monomer,69.55903303287359,38.1303213807132,40.927245394430365,3.714093151057991,0.6013810305970453
Ethylene Glycol - Isomer/Analog 20 - Isomer/Analog 50 - Isomer/Analog 80,64.10791044674492,-1.26522421337065,40.62237796375209,0,2,1,0.1104413873073254,0.8895586126926746,0.7324769611317783,Monomer,26.486080962686152,14.118662203192567,18.95868468562563,2.0774048610373246,0.3997870201254494
Propylene Glycol - Isomer/Analog 21 - Isomer/Analog 51 - Isomer/Analog 81,90.22651094502125,-0.41994205605976886,44.285821864604586,0,2,2,0.11261748212535531,0.8873825178746447,0.1843078524179073,Monomer,27.34423744587981,18.249802257964284,22.1344477380271,3.060010148578341,0.7232283357884504
"1,4-Butanediol - Isomer/Analog 22 - Isomer/Analog 52 - Isomer/Analog 82",82.82539997880517,0.2514934660378792,43.57564360478229,0,2,3,0.172106211388234,0.827893788611766,0.27420333683740844,Monomer,37.777869639374664,25.653251149728085,23.66701629437227,2.7685674004508987,0.47494663005595844
"1,6-Hexanediol - Isomer/Analog 23 - Isomer/Analog 53 - Isomer/Analog 83",115.57624718941135,0.6962330360408602,40.834887481074716,0,2,5,0.14327535638945926,0.8567246436105407,0.13415550645584337,Monomer,43.031517520790004,45.61550128583708,30.149328782972205,3.144049723728641,0.4697685408223987
Lactic Acid - Isomer/Analog 24 - Isomer/Analog 54 - Isomer/Analog 84,88.02470143876869,-0.39373556641719065,54.841601154581525,0,3,1,0.07339511643263137,0.9266048835673686,0.08755614130074547,Monomer,33.56238457780923,25.327958287455594,11.674094259362349,2.5919603320311344,0.4429726658688409
"Lactide (D,L) - Isomer/Analog 25 - Isomer/Analog 55 - Isomer/Analog 85",157.9053033242978,-0.9178983648772834,52.15424757255545,1,4,0,0.18010215939712226,0.8198978406028777,0.06735471198856466,Monomer,72.93233968044227,48.658756136942074,23.660649729384968,3.3248011478768995,0.8250732344108702
Caprolactone - Isomer/Analog 26 - Isomer/Analog 56 - Isomer/Analog 86,124.34060451158186,0.5271365775010116,26.254531010727174,1,2,0,0.22571358329834643,0.7742864167016535,0.14406323794139067,Monomer,46.734246595195756,48.939710838182236,20.935615568127456,3.6345127140043942,0.820778668009295
Succinic Acid - Isomer/Analog 27 - Isomer/Analog 57 - Isomer/Analog 87,137.8919530260568,-0.5479109462367254,79.06058599636876,0,4,3,0.06584649205920651,0.9341535079407934,0.07149747270868811,Monomer,42.66997199807225,34.6159057858555,18.42954755996558,3.323949142733206,0.6785822669220349
Adipic Acid - Isomer/Analog 28 - Isomer/Analog 58 - Isomer/Analog 88,140.7872501662281,0.1546700497935505,70.38981789715261,0,4,5,0.16039320316446298,0.839606796835537,0.11975861957532152,Monomer,47.20426907076464,52.32978327580895,30.45654335313372,3.4272233655217104,0.5837885888224416
Bisphenol A - Isomer/Analog 29 - Isomer/Analog 59 - Isomer/Analog 89,223.38737018072177,2.4217047938680865,41.34364945320741,2,2,2,0.7314985440397874,0.2685014559602126,0.5448180448944121,Monomer,109.72355021965758,69.08881994859348,65.91940248365486,4.350528479491041,0.7032686760592795
